Theta (radians),Mach,V_r,V_theta,P/P0,T/T0,rho/rho0
3.406206359733061,2.9622820575835562,2.962210384435216,-0.020606480185545614,0.02881122341858932,0.3629733765640669,0.07937558311113203
3.406256359733061,2.9622830678954455,2.9622093468028545,-0.02089880508208597,0.02881117960124737,0.3629732188424243,0.07937549688412418
3.406306359733061,2.962284092045591,2.962208294555627,-0.021191074824462197,0.028811135183810878,0.36297305896055104,0.07937540947616763
3.406356359733061,2.9622851300204585,2.962207227696291,-0.021483289417075342,0.028811090166869755,0.3629728969205636,0.07937532088842171
3.4064063597330607,2.962286181806518,2.9622061462276044,-0.02177544886434119,0.028811044551013767,0.3629727327245776,0.07937523112204543
3.4064563597330606,2.9622872473902446,2.9622050501523236,-0.022067553170690257,0.028810998336832525,0.36297256637470793,0.07937514017819745
3.4065063597330605,2.962288326758118,2.962203939473206,-0.022359602340567775,0.028810951524915456,0.362972397873069,0.07937504805803611
3.4065563597330604,2.962289419896623,2.9622028141930086,-0.022651596378433694,0.028810904115851788,0.36297222722177425,0.07937495476271926
3.4066063597330603,2.962290526792249,2.962201674314487,-0.02294353528876267,0.028810856110230595,0.3629720544229365,0.07937486029340449
3.40665635973306,2.9622916474314893,2.9622005198403984,-0.02323541907604405,0.028810807508640828,0.362971879478668,0.07937476465124911
3.40670635973306,2.9622927818008433,2.9621993507734983,-0.02352724774478187,0.028810758311671233,0.3629717023910803,0.07937466783741
3.40675635973306,2.962293929886815,2.9621981671165427,-0.023819021299494834,0.02881070851991032,0.3629715231622838,0.07937456985304357
3.40680635973306,2.9622950916759123,2.962196968872287,-0.024110739744716326,0.028810658133946492,0.3629713417943887,0.079374470699306
3.4068563597330597,2.9622962671546484,2.9621957560434864,-0.024402403084994376,0.02881060715436801,0.3629711582895045,0.07937437037735316
3.4069063597330596,2.9622974563095426,2.962194528632897,-0.02469401132489167,0.028810555581762855,0.3629709726497395,0.07937426888834036
3.4069563597330594,2.962298659127115,2.9621932866432723,-0.024985564468985533,0.028810503416719015,0.362970784877202,0.07937416623342289
3.4070063597330593,2.9622998755938963,2.962192030077368,-0.025277062521867913,0.02881045065982406,0.36297059497399886,0.07937406241375523
3.407056359733059,2.9623011056964175,2.9621907589379384,-0.025568505488145387,0.028810397311665563,0.36297040294223665,0.07937395743049183
3.407106359733059,2.9623023494212157,2.9621894732277374,-0.02585989337243914,0.02881034337283087,0.3629702087840212,0.07937385128478668
3.407156359733059,2.9623036067548334,2.962188172949519,-0.02615122617938496,0.028810288843907142,0.36297001250145744,0.07937374397779337
3.407206359733059,2.962304877683818,2.9621868581060373,-0.02644250391363323,0.028810233725481388,0.3629698140966498,0.0793736355106652
3.4072563597330587,2.9623061621947206,2.9621855287000454,-0.02673372657984891,0.028810178018140432,0.36296961357170193,0.07937352588455505
3.4073063597330586,2.9623074602740984,2.962184184734297,-0.02702489418271154,0.028810121722470904,0.3629694109287167,0.07937341510061546
3.4073563597330585,2.9623087719085124,2.962182826211545,-0.02731600672691522,0.028810064839059287,0.3629692061697964,0.0793733031599986
3.4074063597330584,2.96231009708453,2.962181453134542,-0.027607064217168603,0.028810007368491805,0.3629689992970422,0.07937319006385617
3.4074563597330583,2.9623114357887217,2.9621800655060406,-0.027898066658194897,0.028809949311354652,0.36296879031255513,0.07937307581333973
3.407506359733058,2.9623127880076634,2.9621786633287934,-0.028189014054731835,0.028809890668233706,0.36296857921843506,0.07937296040960026
3.407556359733058,2.9623141537279363,2.9621772466055525,-0.02847990641153168,0.028809831439714762,0.3629683660167815,0.07937284385378854
3.407606359733058,2.962315532936127,2.9621758153390694,-0.02877074373336121,0.028809771626383304,0.3629681507096926,0.07937272614705468
3.407656359733058,2.962316925618826,2.962174369532096,-0.029061526025001713,0.02880971122882481,0.36296793329926663,0.07937260729054882
3.4077063597330577,2.9623183317626287,2.962172909187384,-0.02935225329124897,0.02880965024762445,0.3629677137876005,0.07937248728542046
3.4077563597330576,2.9623197513541353,2.9621714343076837,-0.029642925536913254,0.0288095886833673,0.3629674921767907,0.07937236613281887
3.4078063597330575,2.9623211843799524,2.962169944895747,-0.029933542766819313,0.02880952653663818,0.36296726846893285,0.07937224383389284
3.4078563597330573,2.9623226308266903,2.962168440954324,-0.030224104985806362,0.028809463808021744,0.36296704266612184,0.07937212038979076
3.4079063597330572,2.9623240906809634,2.962166922486165,-0.030514612198728072,0.028809400498102527,0.36296681477045195,0.07937199580166086
3.407956359733057,2.962325563929393,2.9621653894940208,-0.030805064410452568,0.028809336607464826,0.3629665847840167,0.07937187007065077
3.408006359733057,2.9623270505586037,2.9621638419806406,-0.03109546162586241,0.028809272136692703,0.3629663527089086,0.07937174319790775
3.408056359733057,2.9623285505552257,2.9621622799487746,-0.031385803849854586,0.0288092070863702,0.36296611854721994,0.07937161518457893
3.4081063597330568,2.9623300639058945,2.962160703401172,-0.031676091087340506,0.02880914145708104,0.36296588230104193,0.07937148603181081
3.4081563597330566,2.9623315905972496,2.962159112340582,-0.031966323343245985,0.02880907524940875,0.3629656439724649,0.07937135574074952
3.4082063597330565,2.962333130615936,2.9621575067697536,-0.03225650062251124,0.028809008463936844,0.3629654035635791,0.07937122431254111
3.4082563597330564,2.9623346839486047,2.962155886691436,-0.03254662293009086,0.028808941101248386,0.36296516107647303,0.07937109174833074
3.4083063597330563,2.96233625058191,2.962154252108377,-0.03283669027095385,0.028808873161926485,0.3629649165132353,0.07937095804926365
3.408356359733056,2.962337830502511,2.9621526030233247,-0.03312670265008355,0.028808804646553998,0.3629646698759536,0.07937082321648457
3.408406359733056,2.9623394236970744,2.9621509394390277,-0.03341666007247767,0.028808735555713495,0.36296442116671446,0.07937068725113762
3.408456359733056,2.9623410301522686,2.9621492613582334,-0.03370656254314827,0.028808665889987536,0.3629641703876043,0.07937055015436693
3.408506359733056,2.9623426498547687,2.9621475687836893,-0.03399641006712175,0.028808595649958368,0.36296391754070834,0.07937041192731596
3.4085563597330557,2.962344282791255,2.9621458617181426,-0.03428620264943884,0.02880852483620809,0.3629636626281112,0.07937027257112789
3.4086063597330556,2.9623459289484124,2.96214414016434,-0.034575940295154574,0.02880845344931861,0.3629634056518967,0.07937013208694546
3.4086563597330555,2.96234758831293,2.9621424041250286,-0.03486562300933831,0.028808381489871686,0.36296314661414814,0.07936999047591116
3.4087063597330554,2.9623492608715036,2.9621406536029546,-0.0351552507970737,0.028808308958448804,0.36296288551694766,0.07936984773916689
3.4087563597330552,2.962350946610833,2.9621388886008644,-0.03544482366345868,0.02880823585563134,0.36296262236237703,0.07936970387785434
3.408806359733055,2.9623526455176226,2.9621371091215036,-0.03573434161360546,0.028808162182000472,0.3629623571525171,0.07936955889311478
3.408856359733055,2.9623543575785827,2.962135315167618,-0.03602380465264053,0.028808087938137137,0.362962089889448,0.07936941278608899
3.408906359733055,2.962356082780428,2.9621335067419534,-0.03631321278570463,0.02880801312462216,0.36296182057524917,0.07936926555791751
3.4089563597330548,2.962357821109879,2.9621316838472547,-0.036602566017952747,0.028807937742036115,0.36296154921199913,0.07936911720974041
3.4090063597330547,2.9623595725536607,2.9621298464862664,-0.0368918643545541,0.028807861790959396,0.36296127580177573,0.0793689677426973
3.4090563597330545,2.962361337098504,2.962127994661734,-0.037181107800692136,0.028807785271972208,0.36296100034665607,0.07936881715792751
3.4091063597330544,2.9623631147311413,2.962126128376401,-0.03747029636156452,0.02880770818565467,0.3629607228487168,0.07936866545657012
3.4091563597330543,2.9623649054383168,2.9621242476330125,-0.03775943004238313,0.02880763053258648,0.3629604433100331,0.07936851263976338
3.409206359733054,2.9623667092067727,2.9621223524343114,-0.03804850884837402,0.0288075523133474,0.36296016173268014,0.07936835870864566
3.409256359733054,2.962368526023261,2.962120442783042,-0.038337532784777445,0.028807473528516824,0.3629598781187319,0.07936820366435457
3.409306359733054,2.962370355874537,2.9621185186819474,-0.03862650185684782,0.02880739417867402,0.36295959247026166,0.07936804750802748
3.409356359733054,2.962372198747361,2.9621165801337708,-0.038915416069853735,0.028807314264398056,0.362959304789342,0.07936789024080133
3.4094063597330537,2.962374054628499,2.9621146271412546,-0.03920427542907792,0.028807233786267813,0.3629590150780448,0.0793677318638127
3.4094563597330536,2.9623759235047213,2.9621126597071417,-0.039493079939817266,0.028807152744862008,0.36295872333844115,0.07936757237819782
3.4095063597330535,2.962377805362804,2.9621106778341746,-0.03978182960738278,0.028807071140759106,0.36295842957260127,0.0793674117850924
